time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-08 00:00:00+00:00,0,0,1,1
2022-01-09 00:00:00+00:00,3,3,10,4
2022-01-10 00:00:00+00:00,1,1,5,4
2022-01-11 00:00:00+00:00,0,0,9,8
2022-01-12 00:00:00+00:00,1,1,16,4
2022-01-13 00:00:00+00:00,2,2,4,4
2022-01-14 00:00:00+00:00,3,3,14,11
2022-01-15 00:00:00+00:00,4,3,12,5
2022-01-16 00:00:00+00:00,2,1,10,6
2022-01-17 00:00:00+00:00,2,1,19,5
2022-01-18 00:00:00+00:00,6,5,43,10
2022-01-19 00:00:00+00:00,3,3,15,6
2022-01-20 00:00:00+00:00,3,3,9,3
2022-01-21 00:00:00+00:00,4,3,17,5
2022-01-22 00:00:00+00:00,6,2,1,1
2022-01-23 00:00:00+00:00,4,4,10,6
2022-01-24 00:00:00+00:00,8,6,18,7
2022-01-25 00:00:00+00:00,4,3,2,2
2022-01-26 00:00:00+00:00,4,3,31,8
2022-01-27 00:00:00+00:00,2,1,4,4
2022-01-28 00:00:00+00:00,1,1,19,4
2022-01-29 00:00:00+00:00,3,3,12,6
2022-01-30 00:00:00+00:00,0,0,8,5
2022-01-31 00:00:00+00:00,1,1,13,5
2022-02-01 00:00:00+00:00,0,0,5,3
2022-02-02 00:00:00+00:00,2,2,10,7
2022-02-03 00:00:00+00:00,1,1,8,6
2022-02-04 00:00:00+00:00,6,2,5,5
2022-02-05 00:00:00+00:00,2,1,9,7
2022-02-06 00:00:00+00:00,1,1,21,8
2022-02-07 00:00:00+00:00,3,3,34,8
2022-02-08 00:00:00+00:00,2,2,22,9
2022-02-09 00:00:00+00:00,2,2,13,8
2022-02-10 00:00:00+00:00,1,1,11,6
2022-02-11 00:00:00+00:00,1,1,15,10
2022-02-12 00:00:00+00:00,1,1,5,4
2022-02-13 00:00:00+00:00,0,0,16,8
2022-02-14 00:00:00+00:00,1,1,6,4
2022-02-15 00:00:00+00:00,5,3,31,17
2022-02-16 00:00:00+00:00,2,2,26,13
2022-02-17 00:00:00+00:00,2,1,15,7
2022-02-18 00:00:00+00:00,2,1,11,8
2022-02-19 00:00:00+00:00,1,1,11,8
2022-02-20 00:00:00+00:00,4,3,31,10
2022-02-21 00:00:00+00:00,6,4,21,8
2022-02-22 00:00:00+00:00,2,2,57,10
2022-02-23 00:00:00+00:00,1,1,11,10
2022-02-24 00:00:00+00:00,3,3,36,15
2022-02-25 00:00:00+00:00,2,1,20,12
2022-02-26 00:00:00+00:00,2,2,6,5
2022-02-27 00:00:00+00:00,0,0,15,5
2022-02-28 00:00:00+00:00,2,1,18,10
2022-03-01 00:00:00+00:00,4,3,63,22
2022-03-02 00:00:00+00:00,0,0,30,8
2022-03-03 00:00:00+00:00,4,4,29,10
2022-03-04 00:00:00+00:00,5,4,17,10
2022-03-05 00:00:00+00:00,3,2,12,9
2022-03-06 00:00:00+00:00,2,2,16,8
2022-03-07 00:00:00+00:00,2,1,25,5
2022-03-08 00:00:00+00:00,0,0,15,10
2022-03-09 00:00:00+00:00,3,2,47,35
2022-03-10 00:00:00+00:00,1,1,18,17
2022-03-11 00:00:00+00:00,2,2,17,13
2022-03-12 00:00:00+00:00,2,2,17,9
2022-03-13 00:00:00+00:00,1,1,24,8
2022-03-14 00:00:00+00:00,1,1,16,10
2022-03-15 00:00:00+00:00,1,1,17,8
2022-03-16 00:00:00+00:00,2,1,18,12
2022-03-17 00:00:00+00:00,3,3,16,9
2022-03-18 00:00:00+00:00,1,1,23,11
2022-03-19 00:00:00+00:00,1,1,12,7
2022-03-20 00:00:00+00:00,0,0,12,9
2022-03-21 00:00:00+00:00,2,1,27,12
2022-03-22 00:00:00+00:00,2,2,14,11
2022-03-23 00:00:00+00:00,0,0,16,13
2022-03-24 00:00:00+00:00,1,1,31,11
2022-03-25 00:00:00+00:00,3,3,37,19
2022-03-26 00:00:00+00:00,6,2,13,8
2022-03-27 00:00:00+00:00,23,12,383,243
2022-03-28 00:00:00+00:00,20,16,233,133
2022-03-29 00:00:00+00:00,24,18,477,334
2022-03-30 00:00:00+00:00,8,7,177,116
2022-03-31 00:00:00+00:00,9,7,95,66
2022-04-01 00:00:00+00:00,14,10,86,41
2022-04-02 00:00:00+00:00,15,15,443,290
2022-04-03 00:00:00+00:00,14,13,429,282
2022-04-04 00:00:00+00:00,8,6,170,86
2022-04-05 00:00:00+00:00,12,12,127,63
2022-04-06 00:00:00+00:00,10,10,73,48
2022-04-07 00:00:00+00:00,4,4,52,31
2022-04-08 00:00:00+00:00,18,10,74,36
2022-04-09 00:00:00+00:00,2,2,33,19
2022-04-10 00:00:00+00:00,6,5,61,28
2022-04-11 00:00:00+00:00,7,7,44,22
2022-04-12 00:00:00+00:00,3,2,72,35
2022-04-13 00:00:00+00:00,6,4,49,24
2022-04-14 00:00:00+00:00,6,5,51,29
2022-04-15 00:00:00+00:00,6,6,70,18
2022-04-16 00:00:00+00:00,3,3,28,17
2022-04-17 00:00:00+00:00,1,1,12,7
2022-04-18 00:00:00+00:00,4,3,48,32
2022-04-19 00:00:00+00:00,3,2,96,55
2022-04-20 00:00:00+00:00,5,5,39,22
2022-04-21 00:00:00+00:00,6,6,44,31
2022-04-22 00:00:00+00:00,8,6,91,48
2022-04-23 00:00:00+00:00,2,2,16,9
2022-04-24 00:00:00+00:00,8,7,62,19
2022-04-25 00:00:00+00:00,5,4,49,26
2022-04-26 00:00:00+00:00,8,6,42,22
2022-04-27 00:00:00+00:00,15,10,19,10
2022-04-28 00:00:00+00:00,8,5,50,26
2022-04-29 00:00:00+00:00,4,3,24,16
2022-04-30 00:00:00+00:00,3,2,13,8
2022-05-01 00:00:00+00:00,6,6,13,11
2022-05-02 00:00:00+00:00,7,5,21,17
2022-05-03 00:00:00+00:00,4,2,33,18
2022-05-04 00:00:00+00:00,16,12,30,17
2022-05-05 00:00:00+00:00,21,15,33,20
2022-05-06 00:00:00+00:00,11,5,20,12
2022-05-07 00:00:00+00:00,3,2,19,12
2022-05-08 00:00:00+00:00,0,0,30,18
2022-05-09 00:00:00+00:00,4,3,39,20
2022-05-10 00:00:00+00:00,8,7,52,16
2022-05-11 00:00:00+00:00,9,8,30,14
2022-05-12 00:00:00+00:00,4,4,11,11
2022-05-13 00:00:00+00:00,3,3,20,15
2022-05-14 00:00:00+00:00,2,2,21,14
2022-05-15 00:00:00+00:00,5,3,14,6
2022-05-16 00:00:00+00:00,6,5,57,16
2022-05-17 00:00:00+00:00,9,8,821,471
2022-05-18 00:00:00+00:00,30,28,1440,821
2022-05-19 00:00:00+00:00,26,23,738,428
2022-05-20 00:00:00+00:00,15,12,168,113
2022-05-21 00:00:00+00:00,5,5,59,49
2022-05-22 00:00:00+00:00,8,4,82,47
2022-05-23 00:00:00+00:00,11,8,73,50
2022-05-24 00:00:00+00:00,1,1,43,29
2022-05-25 00:00:00+00:00,7,4,55,35
2022-05-26 00:00:00+00:00,8,6,30,15
2022-05-27 00:00:00+00:00,1,1,23,15
2022-05-28 00:00:00+00:00,3,3,14,11
2022-05-29 00:00:00+00:00,5,4,44,23
2022-05-30 00:00:00+00:00,7,6,26,15
2022-05-31 00:00:00+00:00,8,7,88,37
2022-06-01 00:00:00+00:00,5,4,38,25
2022-06-02 00:00:00+00:00,7,4,25,15
2022-06-03 00:00:00+00:00,1,1,15,13
2022-06-04 00:00:00+00:00,9,7,33,17
2022-06-05 00:00:00+00:00,1,1,26,11
2022-06-06 00:00:00+00:00,1,1,25,13
2022-06-07 00:00:00+00:00,4,2,9,9
2022-06-08 00:00:00+00:00,6,3,14,12
2022-06-09 00:00:00+00:00,4,3,21,16
2022-06-10 00:00:00+00:00,9,5,15,9
2022-06-11 00:00:00+00:00,1,1,14,8
2022-06-12 00:00:00+00:00,2,2,9,8
2022-06-13 00:00:00+00:00,3,2,16,13
2022-06-14 00:00:00+00:00,4,3,8,7
2022-06-15 00:00:00+00:00,2,2,22,10
2022-06-16 00:00:00+00:00,5,4,16,11
2022-06-17 00:00:00+00:00,4,3,33,11
2022-06-18 00:00:00+00:00,4,4,21,9
2022-06-19 00:00:00+00:00,2,2,17,13
2022-06-20 00:00:00+00:00,4,4,28,25
2022-06-21 00:00:00+00:00,10,8,47,26
2022-06-22 00:00:00+00:00,7,7,68,44
2022-06-23 00:00:00+00:00,10,9,33,23
2022-06-24 00:00:00+00:00,6,6,18,14
2022-06-25 00:00:00+00:00,3,2,17,9
2022-06-26 00:00:00+00:00,4,2,6,4
2022-06-27 00:00:00+00:00,1,1,9,8
2022-06-28 00:00:00+00:00,5,3,26,10
2022-06-29 00:00:00+00:00,14,10,33,13
2022-06-30 00:00:00+00:00,6,5,14,11
2022-07-01 00:00:00+00:00,7,4,11,6
2022-07-02 00:00:00+00:00,8,4,14,9
2022-07-03 00:00:00+00:00,4,1,2,2
2022-07-04 00:00:00+00:00,6,3,10,10
2022-07-05 00:00:00+00:00,5,4,39,13
2022-07-06 00:00:00+00:00,3,3,26,11
2022-07-07 00:00:00+00:00,4,4,14,13
2022-07-08 00:00:00+00:00,3,3,28,14
2022-07-09 00:00:00+00:00,4,3,9,6
2022-07-10 00:00:00+00:00,2,2,6,6
2022-07-11 00:00:00+00:00,1,1,8,6
2022-07-12 00:00:00+00:00,6,4,11,6
2022-07-13 00:00:00+00:00,9,7,25,13
2022-07-14 00:00:00+00:00,10,7,52,11
2022-07-15 00:00:00+00:00,3,3,15,6
2022-07-16 00:00:00+00:00,2,2,4,2
2022-07-17 00:00:00+00:00,0,0,6,5
2022-07-18 00:00:00+00:00,0,0,8,4
2022-07-19 00:00:00+00:00,4,3,10,5
2022-07-20 00:00:00+00:00,2,2,37,15
2022-07-21 00:00:00+00:00,3,2,5,4
2022-07-22 00:00:00+00:00,2,2,10,8
2022-07-23 00:00:00+00:00,1,1,5,5
2022-07-24 00:00:00+00:00,3,3,8,6
2022-07-25 00:00:00+00:00,3,3,21,12
2022-07-26 00:00:00+00:00,5,4,5,5
2022-07-27 00:00:00+00:00,5,4,18,11
2022-07-28 00:00:00+00:00,4,3,8,7
2022-07-29 00:00:00+00:00,8,3,9,5
2022-07-30 00:00:00+00:00,4,4,8,7
2022-07-31 00:00:00+00:00,1,1,1,1
2022-08-01 00:00:00+00:00,7,6,7,7
2022-08-02 00:00:00+00:00,0,0,3,3
2022-08-03 00:00:00+00:00,6,5,7,7
2022-08-04 00:00:00+00:00,6,5,22,13
2022-08-05 00:00:00+00:00,3,3,13,9
2022-08-06 00:00:00+00:00,3,2,15,6
2022-08-07 00:00:00+00:00,2,2,12,7
2022-08-08 00:00:00+00:00,4,4,9,9
2022-08-09 00:00:00+00:00,4,3,18,4
2022-08-10 00:00:00+00:00,3,2,7,6
2022-08-11 00:00:00+00:00,4,4,12,11
2022-08-12 00:00:00+00:00,5,3,18,12
2022-08-13 00:00:00+00:00,17,11,30,14
2022-08-14 00:00:00+00:00,3,2,47,35
2022-08-15 00:00:00+00:00,6,3,16,11
